name,registry_type,registry_id,registry_court,structure,capital,capital_currency,entry_day,entry_month,entry_year,deletion,deletion_month,deletion_year,balance,address,post_code,city,search_policy
IGB Construct Verwaltungs GmbH,HRB,9570,Schwerin,Gesellschaft mit beschränkter Haftung,25500.0,EUR,31,08,2007,,,,False,Alter Holzhafen 17 b,23966,Wismar,1
AS Dritte Fachmarkt GmbH & Co. KG,HRA,8638,Wiesbaden,Kommanditgesellschaft,,,28,12,2006,16,10,2019,False,Eilweg 3,65396,Walluf,1
CR GmbH & Co.KG,HRA,5314,Steinfurt,Kommanditgesellschaft,,,22,12,2006,08,01,2009,False,Piusallee 121,48147,Münster,2
InterVal GmbH,HRB,110519,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,25000.0,EUR,21,11,2007,,,,False,Habersaathstr. 58,10115,Berlin,1
Solarpark Bingen 1 GmbH & Co. KG,HRA,92744,München,Kommanditgesellschaft,,,12,08,2008,,,,False,Keltenring 13,82041,Oberhaching,1
Verint Blue Pumpkin Software GmbH,HRB,9419 KI,Kiel,Gesellschaft mit beschränkter Haftung,25000.0,EUR,27,08,2001,24,04,2012,False,Danziger Str. 2,85386,Eching,1
Recker Vermögensverwaltung Geschäftsführungs GmbH,HRB,200889,Walsrode,Gesellschaft mit beschränkter Haftung,25000.0,EUR,19,11,2007,,,,False,Diepholzer Straße 81,49453,Wetschen,1
Nova Vita Ambulante Pflege GmbH,HRB,109237,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,25000.0,EUR,03,09,2007,,,,False,Noeggerathstr. 34,53111,Bonn,1
gcg gmbh,HRB,720506,Ulm,Gesellschaft mit beschränkter Haftung,25000.0,EUR,28,12,2006,,,,False,Fraunhoferstraße 2,73037,Göppingen,1
Michael und Susanne Köpper Grundstücks OHG,HRA,60242,Ludwigshafen a.Rhein (Ludwigshafen),Offene Handelsgesellschaft,,,21,12,2006,25,07,2007,False,Landauer Str. 37,67346,Speyer,1
celt customized english language training GmbH,HRB,18990,Duisburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,22,12,2006,,,,False,Blötter Weg 181 a,45478,Mülheim an der Ruhr,1
Cinram Wireless GmbH,HRB,14380,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,04,09,2007,29,09,2009,False,Max-Planck-Str. 1-9,52477,Alsdorf,1
Tigram GmbH & Co. Zweihundertundzehnte Rendite Leasing KG,HRA,6817,Bad Oeynhausen,Kommanditgesellschaft,,,28,12,2006,27,05,2009,False,Richmodstraße 6,50667,Köln,1
