firm;hrid;hrsection;city;year
DK 2. Vermögensverwaltungs GmbH & Co. KG;HRA 5394;HRA;Aachen;2002
Linden Schwinges Thissen Immobilien GmbH & Co. KG;HRA 5860;HRA;Aachen;2002
Erben Linden Immobilien GmbH & Co. KG;HRA 5861;HRA;Aachen;2002
Erben Linden Verwaltungs-GmbH;HRB 11 682;HRB;Aachen;2002
Toy Future Concepts GmbH;HRB 8814;HRB;Aachen;2002
ILS Industrie Logistik Service GmbH;HRB 8826;HRB;Aachen;2002
Oliver Schuh Unternehmensberatung GmbH Aachen;HRB 8851;HRB;Aachen;2002
c-n-d Verwaltung GmbH Aachen;HRB 8863;HRB;Aachen;2002
IMPETUS Plastics Engineering GmbH;HRB 8895;HRB;Aachen;2002
AMVers Beteiligungs-GmbH;HRB 8905;HRB;Aachen;2002
Partyservice Gehlen GmbH;HRB 8914;HRB;Aachen;2002
Kermer GmbH;HRB 1450;HRB;Aalen;2002
Eva Kermer GmbH;HRB 1451;HRB;Aalen;2002
Peter Brenner GmbH;HRB 534;HRB;Aalen;2002
Pentz GmbH & Co.KG;HRA 1026;HRA;Aalen (Württ.);2002
Pentz Verwaltungs GmbH;HRB 1428;HRB;Aalen (Württ.);2002
Ledertech GmbH;HRB 316;HRB;Aalen (Württ.);2002
Holtmeyer GmbH & Co. KG;HRA 2104;HRA;Achim;2002
Eupro GmbH & Co. KG;HRA 2131;HRA;Achim;2002
Bremer Fliesendiscount GmbH & Co. Kommanditgesellschaft;HRA 2145;HRA;Achim;2002
MEDI-FIT-MAGNET GmbH;HRB 6146;HRB;Achim;2002
Eupro Beteiligungs-GmbH;HRB 6176;HRB;Achim;2002
Holtmeyer Beteiligungs-GmbH;HRB 6231;HRB;Achim;2002
Schumacher & Wellbrock Beteiligungs-GmbH;HRB 6243;HRB;Achim;2002
Fragaria Beteiligungs-GmbH;HRB 6311;HRB;Achim;2002
Best Line Gesellschaft mit beschränkter Haftung;HRB 2323;HRB;Ahaus;2002
RCU-VV Dreizehnte Vermögensverwaltung GmbH;HRB 2350;HRB;Ahaus;2002
Kelli Service OHG Keller & Liebig;HRA 1974;HRA;Ahlen;2002
PastBuy.net Auktionshaus für Historica GmbH & Co. KG;HRA 3297;HRA;Ahrensburg;2002
PastBuy.net Beteiligungs GmbH;HRB 4530;HRB;Ahrensburg;2002
Motor Cycle Service & Rental GmbH;HRB 4583;HRB;Ahrensburg;2002
H. Ehnert Global Freight Logistics GmbH;HRB 4618;HRB;Ahrensburg;2002
NV Holding GmbH;HRB 1301;HRB;Albstadt;2002
Michel Bau GmbH;HRB 5392;HRB;Alsfeld;2002
Verpackungsservice Becker GmbH;HRB 5398;HRB;Alsfeld;2002
Metzgerei Fernau GmbH;HRB 5409;HRB;Alsfeld;2002
ITG Drahtservice GmbH;HRB 995;HRB;Altena;2002
BK Bau und Immobilien GmbH;HRB 2921;HRB;Alzey;2002
Hartl Gastro GmbH & Co KG;HRA 2224;HRA;Amberg;2002
Taubmann Holzbau GmbH & Co. KG;HRA 2271;HRA;Amberg;2002
Hartl Rail House GmbH;HRB 3130;HRB;Amberg;2002
Reifen-Köppl GmbH;HRB 3152;HRB;Amberg;2002
Karlheinz Taubmann Verwaltungs GmbH;HRB 3226;HRB;Amberg;2002
Wirtschafts- u. Verbandsbetreuung GmbH;HRB 3271;HRB;Amberg;2002
Jonas Grundbesitz Hangelar GmbH & Co. KG;HRA 3162;HRA;Andernach;2002
whipper collection GmbH;HRB 4939;HRB;Andernach;2002
Print Connect GmbH;HRB 4969;HRB;Andernach;2002
Jonas Grundbesitz Verwaltungs-GmbH;HRB 5083;HRB;Andernach;2002
JSB IT-Beratung GmbH;HRB 5097;HRB;Andernach;2002
H-E-I-B OHG;HRA 2842;HRA;Ansbach;2002
Elektrotechnik Schell GmbH & Co. KG;HRA 2862;HRA;Ansbach;2002
Reinhard Graf Verpachtungs GmbH & Co. KG;HRA 2874;HRA;Ansbach;2002
Elektrotechnik Schell Verwaltungs GmbH;HRB 3506;HRB;Ansbach;2002
Reinhard Graf Verwaltungs GmbH;HRB 3537;HRB;Ansbach;2002
Josef Keßler GmbH & Co. KG Landmaschinen;HRA 2888;HRA;Arnsberg;2002
Fielmann AG & Co.oHG;HRA 3399;HRA;Arnsberg;2002
Dirk Davids Leuchten GmbH;HRB 2011;HRB;Arnsberg;2002
Wolfgang Schulte Besitz-Verwaltungs-GmbH;HRB 2039;HRB;Arnsberg;2002
König Geschäftsführungs- und Verwaltungsgesellschaft mbH;HRB 2044;HRB;Arnsberg;2002
F P Automation GmbH;HRB 3068;HRB;Arnsberg;2002
Fecher GmbH & Co. KG;HRA 3852;HRA;Aschaffenburg;2002
Werkzeug-Weber GmbH & Co. KG;HRA 3856;HRA;Aschaffenburg;2002
Lidl Vertriebs-GmbH & Co. KG;HRA 3879;HRA;Aschaffenburg;2002
Werkzeug-Weber Geschäftsführungs GmbH;HRB 8252;HRB;Aschaffenburg;2002
STS GmbH;HRB 8273;HRB;Aschaffenburg;2002
DeWAL EUROPE GmbH;HRB 8317;HRB;Aschaffenburg;2002
Betty M. Shoes GmbH;HRB 8365;HRB;Aschaffenburg;2002
MP-Gewerbeobjekte GmbH;HRB 8446;HRB;Aschaffenburg;2002
POLYTEC GmbH;HRB 8448;HRB;Aschaffenburg;2002
Peha-Network GmbH;HRB 8454;HRB;Aschaffenburg;2002
Jetty Paketdienst GmbH;HRB 8465;HRB;Aschaffenburg;2002
Applied Therapeutics GmbH;HRB 8509;HRB;Aschaffenburg;2002
Marc Picard Franchise GmbH;HRB 8541;HRB;Aschaffenburg;2002
TBG Trainer GmbH & Co. Weiterbildungs KG;HRA 14 072;HRA;Augsburg;2002
Fuchs GmbH & Co. KG;HRA 14 279;HRA;Augsburg;2002
Balletshofer GmbH & Co KG;HRA 14 366;HRA;Augsburg;2002
Starsolution GmbH;HRB 18 811;HRB;Augsburg;2002
TBG Trainer Beteiligungsgesellschaft mbH;HRB 18 814;HRB;Augsburg;2002
ABS Allgemeiner Bauhandwerker Service GmbH;HRB 18 824;HRB;Augsburg;2002
Malerbetrieb Hornung Brandl & Wolfert GmbH;HRB 18 838;HRB;Augsburg;2002
Erich Rada GmbH;HRB 18 847;HRB;Augsburg;2002
B.R. Schaller Brau GmbH;HRB 18 943;HRB;Augsburg;2002
bautechn. Büro Wiedemann GmbH;HRB 18 968;HRB;Augsburg;2002
Käserei Denklingen GmbH;HRB 19 001;HRB;Augsburg;2002
Gross Hotelbetriebs-GmbH;HRB 19 025;HRB;Augsburg;2002
Hörmann Verwaltungs-GmbH;HRB 19 031;HRB;Augsburg;2002
Erich Weit & Otto Wolff GmbH;HRB 19 060;HRB;Augsburg;2002
WR Immobilienverwaltung und -Consulting GmbH;HRB 19 069;HRB;Augsburg;2002
SKATEJET GmbH;HRB 19 084;HRB;Augsburg;2002
Werner Josef Hampp GmbH;HRB 19 171;HRB;Augsburg;2002
Simons Industrievertrieb GmbH;HRB 19 232;HRB;Augsburg;2002
D. I. F. C. GmbH;HRB 19 238;HRB;Augsburg;2002
MS Verwaltungs GmbH;HRB 19 241;HRB;Augsburg;2002
RS elektronik GmbH;HRB 19 292;HRB;Augsburg;2002
webkomp GmbH;HRB 19 354;HRB;Augsburg;2002
TCF Verwaltungs GmbH;HRB 19 384;HRB;Augsburg;2002
yanistra GmbH;HRB 19 394;HRB;Augsburg;2002
GBS Gesellschaft für Brand-Sanierung mbH;HRB 19 396;HRB;Augsburg;2002
Balletshofer Verwaltungs-GmbH;HRB 19 491;HRB;Augsburg;2002
Fürst Fugger-Babenhausen Vermögensgesellschaft mbH;HRB 19 501;HRB;Augsburg;2002
WCS Geschäftsführungs-GmbH;HRB 19 543;HRB;Augsburg;2002
GM Elektronik Service GmbH;HRB 19 581;HRB;Augsburg;2002
Spitzer Immobilienverwaltungs-GmbH;HRB 19 585;HRB;Augsburg;2002
Hagebaumarkt Hage GmbH & Co. KG;HRA 2447;HRA;Aurich;2002
Kaiser-Treppen GmbH;HRB 1767;HRB;Aurich;2002
Schäfer Grundstücksverwaltungs-GmbH & Co. KG;HRA 984;HRA;Backnang;2002
MS Blitzschutz GmbH;HRB 1705;HRB;Backnang;2002
Ralf C. Häckel Textilimport GmbH;HRB 1742;HRB;Backnang;2002
KLI-RO Holzpellet Vertriebsgesellschaft mbH;HRB 1438;HRB;Bad Arolsen;2002
Müsse Verwaltungs GmbH;HRB 0515;HRB;Bad Berleburg;2002
IGH Institut für ganzheitliche Haartherapie GmbH;HRB 913;HRB;Bad Hersfeld;2002
Münnich-Reinhardt Fromage GmbH & Co. KG;HRA 3652;HRA;Bad Homburg v.d.H.;2002
C & W Projektentwicklungsgesellschaft mbH & Co. Objekt Bad Homburg Siemensstr. KG;HRA 3683;HRA;Bad Homburg v.d.H.;2002
Hessenring 107 GmbH & Co. KG;HRA 3687;HRA;Bad Homburg v.d.H.;2002
Ophios GmbH;HRB 7449;HRB;Bad Homburg v.d.H.;2002
Axio Pharma GmbH;HRB 7637;HRB;Bad Homburg v.d.H.;2002
Hessenring 107 Beteiligungs GmbH;HRB 7642;HRB;Bad Homburg v.d.H.;2002
Tae Ha Handels GmbH;HRB 7714;HRB;Bad Homburg v.d.H.;2002
Phoenix GmbH & Co. KG;HRA 3176;HRA;Bad Kreuznach;2002
RS Transporte GmbH & Co. KG;HRA 3192;HRA;Bad Kreuznach;2002
BK Family Restaurant GmbH & Co. KG;HRA 3203;HRA;Bad Kreuznach;2002
Sotin Chemische und technische Produkte GmbH & Co. KG;HRA 3216;HRA;Bad Kreuznach;2002
Phoenix Verwaltungs-GmbH;HRB 4387;HRB;Bad Kreuznach;2002
RS Schmidt Management GmbH;HRB 4428;HRB;Bad Kreuznach;2002
Serviceforum GmbH;HRB 4429;HRB;Bad Kreuznach;2002
Schroeder Verwaltungsgesellschaft mbH;HRB 4432;HRB;Bad Kreuznach;2002
BK Family Restaurant Verwaltungsgesellschaft mbH;HRB 4454;HRB;Bad Kreuznach;2002
Thelen Medienservice GmbH;HRB 4465;HRB;Bad Kreuznach;2002
AB-Profil GmbH & Co. KG;HRA 2473;HRA;Bad Oeynhausen;2002
High Tech Company GmbH & Co. KG;HRA 2475;HRA;Bad Oeynhausen;2002
Bölstorf und Niemann GmbH & Co. KG;HRA 2477;HRA;Bad Oeynhausen;2002
Balda Medical GmbH & Co. KG;HRA 2498;HRA;Bad Oeynhausen;2002
Bölstorf und Niemann Verwaltungs-GmbH;HRB 3391;HRB;Bad Oeynhausen;2002
High Tech Company Verwaltungs-GmbH;HRB 3393;HRB;Bad Oeynhausen;2002
Truck and Trailors W. GmbH;HRB 3441;HRB;Bad Oeynhausen;2002
Balda Medical Verwaltungsgesellschaft mbH;HRB 3460;HRB;Bad Oeynhausen;2002
