firm;date;hrid;postcode;city;hrsection
  IGB Construct Verwaltungs GmbH;7. September 2007;HRB 9570;-9; Schwerin;HRB
	AS Dritte Fachmarkt GmbH & Co. KG; 1. Januar 2007;HRA 8638;-9;Wiesbaden;HRA
	CR GmbH & Co.KG; 1. Januar 2007;HRA 8499;-9;Münster;HRA
 Brilliant 684. GmbH;23. November 2007;HRB 110519 B;-9;Berlin (Charlottenburg);HRB
  KAD Krantechnik und Anlagenbau GmbH Dessau;7. September 2007;HRB 107532 B;-9;Berlin (Charlottenburg);HRB
 Solarpark Bingen 1 GmbH & Co. KG;23. November 2007;HRA 92744;-9;München;HRA
 Verint Blue Pumpkin Software GmbH;23. November 2007;HRB 9419 KI;-9;Kiel;HRB
Recker Vermögensverwaltung Geschäftsführungs GmbH;20. November 2007;HRB 200889;-9;Walsrode;HRB
  Nova Vita Ambulante Pflege GmbH;7. September 2007;HRB 109237 B;-9;Berlin (Charlottenburg);HRB
	gcg gmbh; 1. Januar 2007;HRB 720506;-9;Ulm;HRB
	Michael und Susanne Köpper Grundstücks OHG; 1. Januar 2007; HRA 60242;-9;Ludwigshafen a.Rhein (Ludwigshafen);HRA
	Schmidt Verwaltungs-GmbH; 1. Januar 2007;-9;-9;-9;-9
	celt customized english language training GmbH; 1. Januar 2007;HRB 18990;-9;Duisburg;HRB
  Cinram Wireless GmbH;7. September 2007;HRB 14380;-9;Aachen;HRB
	INNCONA GmbH & Co. Zweihundertundzehnte Rendite Leasing KG; 1. Januar 2007;HRA 6817;-9;Bad Oeynhausen;HRA
  GPS GmbH;7. September 2007;-9;-9;-9;-9
	Metker & Jakob GmbH; 1. Januar 2007;HRB 200660;-9;Osnabrück;HRB
	BCV Agenturgemeinschaft Hannover GmbH; 1. Januar 2007;HRB 201269;-9;Hannover;HRB
 Auskunfter GmbH;23. November 2007;HRB 142512 B;-9;Berlin (Charlottenburg);HRB
Planungsgruppe Welz Lorenz Jetter GmbH;20. November 2007;HRB 721565;-9;Ulm;HRB
	Hanika GmbH; 1. Januar 2007;HRB 5057;-9;Schweinfurt;HRB
 CSI Corporate Sports International GmbH & Co.KG;23. November 2007;HRA 12033;-9;Duisburg;HRA
carflexx.com Limited Niederlassung Hamburg;20. November 2007;HRB 103159;-9;Hamburg;HRB
 Fashion-Star GmbH;23. November 2007;HRB 13637 HL;-9;Lübeck;HRB
Commercia Grundstücksverwaltung Objekt Kusel Gesellschaft mit beschränkter Haftung;20. November 2007;HRB 23265;-9;Wiesbaden;HRB
	German Marketing Service GMS Limited; 1. Januar 2007;HRB 20166;-9;Wuppertal;HRB
  m-p-t GmbH;7. September 2007;HRB 6826;-9;Stendal;HRB
