name,registry_type,registry_id,registry_court,structure,list_index,list_date_day,list_date_month,list_date_year
Maschintec Produktions GmbH,HRB,507565,Jena,Gesellschaft mit beschränkter Haftung,0,23,01,2012
MR Spaija GmbH,HRB,139448,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,24,01,2012
bikeBox24 GmbH,HRB,43871,Mainz,Gesellschaft mit beschränkter Haftung,0,20,04,2018
bikeBox24 GmbH,HRB,43871,Mainz,Gesellschaft mit beschränkter Haftung,1,03,01,2018
bikeBox24 GmbH,HRB,43871,Mainz,Gesellschaft mit beschränkter Haftung,2,03,01,2018
bikeBox24 GmbH,HRB,43871,Mainz,Gesellschaft mit beschränkter Haftung,3,26,02,2015
bikeBox24 GmbH,HRB,43871,Mainz,Gesellschaft mit beschränkter Haftung,4,26,02,2015
bikeBox24 GmbH,HRB,43871,Mainz,Gesellschaft mit beschränkter Haftung,5,26,02,2015
bikeBox24 GmbH,HRB,43871,Mainz,Gesellschaft mit beschränkter Haftung,6,31,03,2014
bikeBox24 GmbH,HRB,43871,Mainz,Gesellschaft mit beschränkter Haftung,7,15,03,2012
City-Taxi Oberhausen GmbH,HRB,24892,Duisburg,Gesellschaft mit beschränkter Haftung,0,18,10,2012
WKE GmbH,HRB,121274,Hamburg,Gesellschaft mit beschränkter Haftung,0,16,08,2012
WKE GmbH,HRB,121274,Hamburg,Gesellschaft mit beschränkter Haftung,1,09,08,2012
WKE GmbH,HRB,121274,Hamburg,Gesellschaft mit beschränkter Haftung,2,04,01,2012
Peco-Print GmbH,HRB,714289,Mannheim,Gesellschaft mit beschränkter Haftung,0,04,04,2012
Juwel 146. V V UG (haftungsbeschränkt),HRB,142088,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,07,06,2012
Juwel 146. V V UG (haftungsbeschränkt),HRB,142088,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,1,29,05,2012
HOLZBAU SIEMON GmbH,HRB,15653,Kassel,Gesellschaft mit beschränkter Haftung,0,19,12,2011
Kögel & Nunne Bau GmbH,HRB,7810,Lemgo,Gesellschaft mit beschränkter Haftung,0,27,07,2012
Kögel & Nunne Bau GmbH,HRB,7810,Lemgo,Gesellschaft mit beschränkter Haftung,1,04,07,2012
Kögel & Nunne Bau GmbH,HRB,7810,Lemgo,Gesellschaft mit beschränkter Haftung,2,18,06,2012
